(3, 4)
(8, 10)
(4, 12)
(13, 18)
(8, 11)
(8, 22)
(19, 22)
(5, 28)
(26, 36)
(19, 23)
(19, 46)
(42, 46)
(17, 52)
(50, 58)
(6, 60)
(39, 66)
(16, 35)
(16, 70)
(51, 70)
(72, 82)
(19, 48)
(19, 96)
(67, 96)
(69, 100)
(70, 106)
(72, 130)
(41, 138)
(87, 148)
(101, 162)
(48, 83)
(48, 166)
(131, 166)
(27, 172)
(108, 178)
(56, 180)
(89, 95)
(89, 190)
(184, 190)
(42, 96)
(42, 192)
(138, 192)
(181, 196)
(43, 210)
(46, 226)
(48, 119)
(48, 238)
(167, 238)
(83, 131)
(83, 262)
(214, 262)
(109, 268)
(157, 292)
(93, 102)
(93, 204)
(195, 204)
(93, 306)
(195, 306)
(297, 306)
(92, 155)
(92, 310)
(247, 310)
(56, 156)
(56, 312)
(212, 312)
(249, 316)
(152, 346)
(26, 348)
(69, 179)
(69, 358)
(248, 358)
(238, 372)
(137, 378)
(184, 191)
(184, 382)
(375, 382)
(271, 388)
(11, 204)
(11, 408)
(215, 408)
(100, 418)
(404, 420)
(13, 43)
(13, 86)
(56, 86)
(13, 129)
(56, 129)
(99, 129)
(13, 172)
(56, 172)
(99, 172)
(142, 172)
(13, 215)
(56, 215)
(99, 215)
(142, 215)
(185, 215)
(13, 258)
(56, 258)
(99, 258)
(142, 258)
(185, 258)
(228, 258)
(13, 301)
(56, 301)
(99, 301)
(142, 301)
(185, 301)
(228, 301)
(271, 301)
(13, 344)
(56, 344)
(99, 344)
(142, 344)
(185, 344)
(228, 344)
(271, 344)
(314, 344)
(13, 387)
(56, 387)
(99, 387)
(142, 387)
(185, 387)
(228, 387)
(271, 387)
(314, 387)
(357, 387)
(13, 430)
(56, 430)
(99, 430)
(142, 430)
(185, 430)
(228, 430)
(271, 430)
(314, 430)
(357, 430)
(400, 430)
(318, 442)
(111, 460)
(450, 466)
(25, 239)
(25, 478)
(264, 478)
(320, 490)
(151, 166)
(151, 332)
(317, 332)
(151, 498)
(317, 498)
(483, 498)
(130, 251)
(130, 502)
(381, 502)
(9, 508)
(297, 522)
(104, 540)
(429, 546)
(435, 556)
(530, 562)
(105, 144)
(105, 288)
(249, 288)
(105, 432)
(249, 432)
(393, 432)
(105, 576)
(249, 576)
(393, 576)
(537, 576)
(478, 586)
(175, 299)
(175, 598)
(474, 598)
(114, 612)
(75, 618)
(175, 214)
(175, 428)
(389, 428)
(175, 642)
(389, 642)
(603, 642)
(80, 323)
(80, 646)
(403, 646)
(443, 652)
(186, 658)
(570, 660)
(479, 676)
(429, 700)
(172, 708)
(224, 359)
(224, 718)
(583, 718)
(110, 371)
(110, 742)
(481, 742)
(84, 756)
(184, 384)
(184, 768)
(568, 768)
(21, 772)
(699, 786)
(563, 796)
(621, 820)
(256, 826)
(376, 828)
(228, 419)
(228, 838)
(647, 838)
(474, 852)
(119, 858)
(142, 431)
(142, 862)
(573, 862)
(686, 876)
(301, 882)
(259, 443)
(259, 886)
(702, 886)
(295, 906)
(583, 940)
(914, 946)
(478, 491)
(478, 982)
(969, 982)
(114, 332)
(114, 664)
(446, 664)
(114, 996)
(446, 996)
(778, 996)
(57, 504)
(57, 1008)
(561, 1008)
(958, 1018)
(10, 340)
(10, 680)
(350, 680)
(10, 1020)
(350, 1020)
(690, 1020)
(486, 515)
(486, 1030)
(1001, 1030)
(167, 1060)
(520, 1090)
(260, 364)
(260, 728)
(624, 728)
(260, 1092)
(624, 1092)
(988, 1092)
(219, 1108)
